FID,AREA,APN,APN2,LUC,FID_riverb,Acres,id,planning_u,number
136,1206644.734,073-231-004,073231004,PF,0,27.70079994,610,610,100
137,1239409.842,073-231-005,073231005,REC,0,28.45289993,611,611,100
138,3472683.343,073-231-006,073231006,PF,0,79.72180176,612,612,100
139,1318450.143,073-241-001,073241001,AG,0,30.26749992,613,613,100
140,875137.0983,073-251-001,073251001,PF,0,20.0904007,614,614,100
141,1204378.169,073-251-006,073251006,PF,0,27.64870071,616,616,100
142,3477486.231,073-321-001,073321001,AG,0,79.83209991,617,617,100
143,439711.2649,073-321-013,073321013,AG,0,10.09440041,618,618,100
144,671955.2061,073-321-014,073321014,REC,0,15.42599964,619,619,100
145,952987.6234,073-331-032,073331032,AG,0,21.87759972,623,623,100
146,205089.8498,073-331-033,073331033,PF,0,4.708220005,624,624,100
147,140550.0003,074-021-043,074021043,RSF,0,3.226579905,626,626,100
148,221839.2376,074-022-039,074022039,RS,0,5.092730045,632,632,100
149,221627.6135,074-022-043,074022043,RS,0,5.087870121,635,635,100
150,1729830.331,074-022-073,074022073,RS,0,39.71139908,637,637,100
151,1801432.919,074-022-074,074022074,RS,0,41.35520172,638,638,100
152,4864018.669,074-023-005,074023005,RSF,0,111.663002,639,639,100
153,594194.0607,074-026-003,074026003,RSF,0,13.64080048,650,650,100
154,519255.0009,074-101-004,074101004,RSF,0,11.9204998,653,653,100
155,997607.0066,074-224-019,074224019,AG,0,22.90189934,656,656,100
156,507852.3436,074-229-017,074229017,CR,0,11.65869999,662,662,100
